,eng,Subject
21950,Complete the reaction.,Chemistry
46038,"The effect of an impulse force on the body is measured only in terms of its
A. Force
B. Moment of momentum
c. Impulse
D. None of these",Physics
11817,"The Sl unit of inductance, the henry, can
be written as :
This question has multiple correct options
A. weber / ampere
B. volt second / ampere
C . joule / ampere \( ^{2} \)
D. ohm second",Physics
61244,"An ionic bond \( A^{+} B^{-} \) is most likely to be
formed when:
A. the ionization energy of A is high and the electron affinity of B is low.
B. the ionization energy of A is low and the electron affinity of B is high.
c. the ionization energy of A and the electron affinity of is high
D. the ionization energy of A and the electron affinity of is low.",Chemistry
114707,"Write in ascending order of the surds given in each of the following sets \( \sqrt[4]{625}, \sqrt[3]{343}, \sqrt{100} \)",Maths
84152,"Which of the following possesses the highest bond energy?
\( \mathbf{A} \cdot F_{2} \)
B. \( C l_{2} \)
c. \( B r_{2} \)
D. \( I_{2} \)",Chemistry
113728,"Assertion
Oxidation of glucose by \( B r_{2} \) water gives
saccharic acid.
Reason
Bra water oxidized -CHO and alcohol.
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Chemistry
89118,Find the modulus and the argument of the complex number \( z=-1-i \sqrt{3} \),Maths
118052,"Clean water should have BOD value:
A. \( <5 \) ppm
B. > 5 ppm
c. \( <10 \) ppm
D. \( <2 \) ppm",Chemistry
66280,"Solve:
\( \lim _{x \rightarrow 0}\left(\left[x^{2}\right]-[x]^{2}\right) \)",Maths
55209,"State the following statement true or false:

Each cardiac cycle lasts for 0.15 second
A. True
B. False",Biology
70248,"What is the symbol of atomic number
\( 117 ? \)
A. Uus
B. Uns
c. uno
D. uut",Chemistry
30565,"The periodic time of a linear harmonic
oscillator is \( 2 \pi \) seconds, with
maximum displacement of \( 1 c m \), if the
particle starts from extreme position, find displacement of the particle after \( \frac{\pi}{3} \) seconds",Physics
85871,"A large hollow metal sphere of radius has a small opening at the top through which drops of mercury each of radius \( r \) and charged to a potential V fall into the
sphere and the potential becomes \( V^{\prime} \)
after \( \mathrm{N} \) drops fall into it. Then:
A. \( \mathrm{V}^{\prime}<\mathrm{V} \) for any value of \( \mathrm{N} \)
B. \( \mathrm{V}^{\prime}=\mathrm{V} \) for \( \mathrm{N}=1 \)
c. \( \mathrm{v}^{\prime}=\mathrm{v} \) for \( \mathrm{N}=\frac{\mathrm{R}}{\mathrm{r}} \)
D",Physics
55898,"The very toxic gas which causes a headache, visual difficulty, paralysis, and even death in the human beings is:
A) \( C O_{2} \)
B) \( \boldsymbol{O}_{3} \)
C) \( C O \)
\( A \cdot A \& B \)
B. A
\( c \cdot c \)
D. B",Chemistry
52620,"Prove that, \( [\boldsymbol{x}]+[\mathbf{5} \boldsymbol{x}]+[\mathbf{1 0 x}]+[\mathbf{2 0 x}]= \)
\( 36 k+35 . k \varepsilon I \) does not have any real
solution. Here [.] denotes greatest integer function.",Maths
63495,"Graphite fluoride and graphite oxide are electrically conducting compounds.
A. True
B. False",Chemistry
28388,"Choose the correct statement(s).
A. Fermentation is the process of conversion of pyruvate into ethanol and \( C O_{2} \) under aerobic conditions.
B. Pyruvate breakdown into \( C O_{2} \), water and energy occurs in the mitochondria during anaerobic respiration.
C. Glycolysis is the breakdown of glucose into pyruvate by means of ten step reactions in the cytoplasm.
D. The common respiratory substrate is glycogen.",Biology
34992,"The work done in rotating a body from
angle \( \theta_{1} \) to angle \( \theta_{2} \) by a constant
torque \( \boldsymbol{\tau} \) will be :
A \( \cdot \frac{\tau}{\left(\theta_{1}-\theta_{2}\right)} \)
В \( \cdot \tau\left(\theta_{2}-\theta_{1}\right) \)
c. 0
D. \( \frac{\left(\theta_{1}-\theta_{2}\right)}{\tau} \)",Physics
64038,"A condenser is charged and then battery is removed. A dielectric plate is put
between the plates of condenser, then correct statement is
A. Q is constant, v and U decrease
B. Q is constant, V increases U decreases
c. Q increases, v decreases U increases
D. \( Q, v \) and \( U \) increase",Physics
63934,"The connective tissue known as
middleman is
A . Lymph
B. Blood
c. Serum
D. Bone",Biology
106406,"State whether the given statement is true or false.

Statement: There are four categories among which various surfactants are
divided. They are
1. Non-ionic Surfactant
2. Anionic Surfactant
3. Cationic Surfactant
4. Zwitterionic surfactants
A. True
B. False",Chemistry
57908,Answer the following question based on a hot cathode ray tube. Name the charged particles.,Physics
90118,"Aerobic respiration occurs in
A. Thylakoid.
B. Golgi body.
c. Grana
D. Mitochondria.",Biology
14431,"A machine has three parts, \( A, B \) and \( C \)
whose chances of being defective are 0.02,0.10 and 0.05 respectively. The machine stops working if any one of the arts becomes defective. What is the
probability that the machine will not stop working?
A . 0.06
B. 0.16
c. 0.84
D. 0.94",Maths
44410,"The Bulk modulus for an
incompressible liquid is :
A. zero
B. Unity
c. Infinty
D. Between O and 1",Physics
104373,"The equation of ellipse with the length
of major and minor axis as \( 12,16 \mathrm{cm} \) respectively is",Maths
82380,"Which figure is an example of top view?
A. figure 1
B. figure 2
c. figure 4
D. figure 3",Maths
13797,"For all positive integers \( n, P(n) \) is true
and \( 2^{n-2}>3 n \), then which of the
following is true?
\( \mathbf{A} \cdot P(3) \) is true
\( \mathbf{B} \cdot P(5) \) is true
C. If \( P(m) \) is true then \( P(m+1) \) is also true.
D. If \( P(m) \) is true then \( P(m+1) \) is not true.",Maths
13213,"The sum of all the solution(s) of the
equation \( \sin ^{-1} 2 x=\cos ^{-1} x \) is",Maths
122221,"The least value of \( \frac{1}{2}+\frac{2}{3} \operatorname{cosec}^{2} \theta+ \)
\( \frac{3}{8} \sec ^{2} \theta \) is
A \( \cdot \frac{13}{24} \)
в. \( \frac{61}{48} \)
c. \( \frac{61}{25} \)
D. \( \frac{61}{24} \)",Maths
43499,"For any two complex numbers \( z_{1}, z_{2} \) we
have \( \left|z_{1}+z_{2}\right|^{2}=\left|z_{1}\right|^{2}+\left|z_{2}\right|^{2}, \) then
A \( \cdot \operatorname{Re}\left(\frac{z_{1}}{z_{2}}\right)=0 \)
в. \( \operatorname{Im}\left(\frac{z_{1}}{z_{2}}\right)=0 \)
c. \( \operatorname{Re}\left(z_{1} z_{2}\right)=0 \)
D・Im \( \left(z_{1} z_{2}\right)=0 \)",Maths
13201,"In an experiment of verification of
Ohm's law, following observations are obtained:
Potential difference 0.5
\( \begin{array}{lll}\text { 1.0 } & \text { 1.5 } & \text { 2.0 }\end{array} \) \( v \) (in volt')
Current
in 0.2
\( 0.4 \quad 0.6 \)
ampere
From observation table the resistance
in circuit is
A. \( 2.5 \Omega \)
в. \( 2 \Omega \)
\( c .5 \Omega \)
D. \( 3 \Omega \)",Physics
91097,"In an A.P., of which a is the first term, if
the sum of the first p terms is zero,
show that the sum of the next q terms is \( -\frac{a(p+q) q}{p-1} \)",Maths
83496,"A machine gun fires bullets of \( 50 \mathrm{gm} \) at the speed of \( 1000 \mathrm{m} / \mathrm{sec} . \) If an average force of \( 200 \mathrm{N} \) is exerted on the gun, the maximum number of bullets fired per
minutes is:
A . 240
B. 180
\( c \cdot 60 \)
D. 30",Physics
29839,"A moving charge will produce
A. No field
B. An electric field only
C. A magnetic field only
D. Both (b) and (c)",Physics
108619,"What are the advantages of sexual reproduction over asexual reproduction?
A. Variation in gene pool leading to generation of new species
B. Exponential growth
c. Selective adaptation
D. Both A and C",Biology
57324,"Which of the following statements regarding the gravitational attraction between man and the earth are correct?
1. The man and the earth pull each other with the same force
2. The earth pulls the man with more
force than the man pulling the earth
3. The acceleration of the man due to
the earth's pull is more than that of the
earth due to the man's pull
4. The accelerations of the man and the
earth are the same
\( A \cdot 2 \) and 3
B. 1 and 4
c. 1 and 3
D. 2 and 4",Physics
86277,"tood
voo
corresponding P-V diagram fo
ess is (all figure are schemati nd not drawn to scale)",Physics
4765,"In which one of the following compounds, the oxidation number of sulphur is the least
\( A \cdot S O_{2} \)
в. \( S O_{3} \)
\( \mathbf{c} \cdot N a_{2} S O_{4} \)
D. \( H_{2} S O_{4} \)",Chemistry
3185,"\( \int_{0}^{2 a} \frac{f(x) d x}{f(x)+f(2 a-x)} \)
\( A \)
B. \( \frac{a}{2} \)
\( c \cdot 0 \)
D. \( 2 a \)",Maths
66808,"What is redox reaction? In the reaction
\( Z n O+C \rightarrow Z n+C O \) which
substance gets oxidised and which gets reduced?",Chemistry
107769,"Unit of magnetic induction \( B \) is :
A \( \frac{N}{A m} \)
в. \( \frac{N A}{m} \)
c. \( \frac{N m}{A} \)
D. \( \frac{N}{A} \)",Physics
37272,"Which one of the following statement is
correct regarding blood pressure?
A. \( 190 / 110 \mathrm{mm} \) Hg may harm vital organs like brain and kidney
B. \( 130 / 90 \mathrm{mm} \) Hg is considered high and requires treatment
C. \( 100 / 55 \mathrm{mm} \) Hg is considered and ideal blood pressure
D. \( 105 / 50 \mathrm{mm} \) Hg makes one very active",Biology
35936,"An intense stream of water of cross
section area A strikes a wall at an angle \( \theta \) with the normal to the wall and
returns back elastically. If the density of
water is \( \rho \) and its velocity is \( v \), then the force exerted on the wall will be :
A \( \cdot 2 A v^{2} \)
В. \( 2 A v^{2} \rho \)
c. \( 2 A v^{2} \rho \cos \theta \)
D \( \cdot 2 A v^{2} \rho \sin \theta \)",Physics
73373,"Which of the following will react violently with water to form a base?
A. Chlorine
B. cobalt
c. Calcium
D. Aluminum
E. Potassium",Chemistry
105850,Motion of centre of mass,Physics
114394,How many types of leaf venation are there?,Biology
51844,"Root cells do not play an active role in
the absorption of water in mechanism.
A. Osmotic absorption
B. Non-osmotic absorption
c. Active absorption
D. Passive absorption",Biology
24981,"A man can row \( 9 \frac{1}{3} k m p h \) in still water and finds that it takes him thrice as
much time to row up then as to row
down the same distance in the river.
Find the speed of the current.",Maths
112395,"The oxidation number of Na in NaCl:
A. 0
B. - -
\( c \cdot+1 \)
D. 2
\( E \cdot+2 \)",Chemistry
110837,"Which of the following socio-economic factor tend to keep birth rate in India at a high level?
A. Urbanisation
c. Poverty
D. None of the above",Biology
7596,"Oxides of sulphur present in the atmosphere are washed down by rain and would result in:
A. lowering of \( p H \) of the soil
B. increase in \( p H \) of the soil
c. increase in \( O_{3} \) quantities
D. none of these",Chemistry
108583,"The sensitivity of a potentiometer can be increased by
a) increasing the series resistance in the primary circuit
b) decreasing the length of the potentiometer wire
c) using a thin and high resistivity wire as a potentiometer wire
d) increasing the length of the wire
A. a and c are correct
B. b and d are correct
\( c . \) b and c are correct
D. a and d are correct",Physics
71598,"The flame of the candle has three zones.
The outer zone is blue, the middle zone
is yellow and the inner zone is black. Which is correct regarding this? This question has multiple correct options
A. The outer zone is hottest hot
B. The middle zone is hottest
c. The inner zone is least hot
D. All the zones have same temperature",Chemistry
94473,"Choose the correct answers from the
alternatives given

Name the process by which the suns energy is trapped as the source of energy used by virtually all living organisms
A. Metabolism
B. Glycolysis
c. Homeostasis
D. Photosynthesis",Biology
45629,"\( P C l_{5} \) exists as solid in the form of
\( \left[\boldsymbol{P C l}_{4}\right]^{+}\left[\boldsymbol{P C l}_{6}\right]^{-}, \) and it is a non
conductor of electricity.
A . True
B. False
c. Ambiguous
D. None of the above",Chemistry
80332,"Three concentric conducting spherical
shells of radii \( \boldsymbol{R}, 2 \boldsymbol{R} \) and \( \boldsymbol{3} \boldsymbol{R} \) carry
charges \( Q,-2 Q \) and \( 3 Q, \) respectively
Compute the potential at \( r=R \), and
the charges on the spheres of radii \( \boldsymbol{R} \)
and \( 3 R \)
A \( \cdot \frac{Q+2 Q_{1}}{12 \pi \varepsilon_{0} R}, Q_{1}=\frac{Q}{4}, Q_{2}=\frac{7 Q}{2} \)
в. \( \frac{Q+2 Q_{1}}{12 \pi \varepsilon_{0} R}, Q_{1}=\frac{Q}{2}, Q_{2}=\frac{7 Q}{2} \)
c. \( \frac{Q+2 Q_{1}}{12 \pi \varepsilon_{0} R}, Q_{1}=\frac{Q}{2}, Q_{2}=\frac{7 Q}{4} \)
D. \( \frac{Q+2 Q_{1}}{12 \pi \varepsilon_{0} R}, Q_{1}=\frac{Q}{4}, Q_{2}=\frac{7 Q}{4} \)",Physics
91158,"Deuteromethane can be prepared if
\( D_{2} O \) reacts with:
\( \mathbf{A} \cdot A l_{4} C_{3} \)
в. \( C a C_{2} \)
c. both A and B
D. none of the above",Chemistry
93239,"A ball is shot vertically upward with a
given initial velocity. It reaches a maximum height of \( 100 \mathrm{m} \). If on a second shot, the initial velocity is doubled then the ball will reach a maximum height of
\( A .70 .7 \mathrm{m} \)
B. \( 141.4 \mathrm{m} \)
c. \( 200 \mathrm{m} \)
D. \( 400 \mathrm{m} \)",Physics
14909,"Three coins are tossed. Describe
two events \( A \) and \( B \) which are mutually
exclusive.",Maths
84035,"Which of the following statements is/are correct?
a) In the decomposition of an oxide into
oxygen and metal vapour, entropy
increases.
b) Decomposition of an oxide is an endothermic change.
c) To make \( \Delta G^{0} \) negative, temperature
should be high enough so that \( T \Delta S^{0}> \)
\( \Delta \boldsymbol{H}^{0} \)
A. (a), (b) only are correct
B. (b), (c) only are correct
C. (a), (c) only are correct
D. \( (a),(b),(c) \) are correct",Chemistry
17136,"For reaction \( , 2 A+B \rightleftharpoons 2 C, K=x \)
Equilibrium constant for \( \boldsymbol{C} \rightleftharpoons \boldsymbol{A}+\frac{\mathbf{1}}{\mathbf{2}} \boldsymbol{B} \)
will be:
\( A \)
в. \( \frac{x}{2} \)
c. \( \frac{1}{\sqrt{x}} \)
D. \( \sqrt{x} \)",Chemistry
114509,"The following one represents logic addition is
A. \( 1+1=2 \)
B. \( 1+1=10 \)
c. \( 1+1=1 \)
D. \( 1+1=11 \)",Physics
75630,"If \( (x+3,4-y)=(1,7), \) then \( (x- \)
\( \mathbf{3}, \mathbf{4}+\boldsymbol{y}) \) is equal to
A \( \cdot(-2,-3) \)
в. (-5,1)
c. (3,4)
(年. \( (3,4)) \)
D. None of these",Maths
88171,"The function \( y=\frac{2-x^{2}}{x^{4}} \) takes on
equal values at the end-points of the interval \( [-1,1] . \) Is Rolle's theorem valid in
this interval?",Maths
4625,"An unknown compound has molecular
formula \( C_{7} H_{12} \).It gives two aldehydes shown below upon ozonolysis followed
by workup with \( Z n-H_{2} O . \) What is the
the structure of the original compound?
and
\( A \)
B.
\( c \)
D. None of the above",Chemistry
74763,"Thickness of stem increase due to
activity of
A. Cambium
B. Xylem
c. Phloem
D. Shoot apex",Biology
93371,"Assertion \( \operatorname{Let} a, b \in R, \) and \( I=\left[\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right] \) and \( J= \)
\( \left[\begin{array}{cc}\mathbf{0} & \mathbf{1} \\ -\mathbf{1} & \mathbf{0}\end{array}\right] \)
Inverse of \( a I+b J \) is \( c I+d J \) if and only
if
\( \boldsymbol{a c}-\boldsymbol{b d} \neq \mathbf{0} \) and \( \boldsymbol{a} \boldsymbol{d}+\boldsymbol{b} \boldsymbol{c}=\mathbf{0} \)
Reason
\( (\boldsymbol{a} \boldsymbol{I}+\boldsymbol{b} \boldsymbol{J})(\boldsymbol{c} \boldsymbol{I}+\boldsymbol{d} \boldsymbol{J})=(\boldsymbol{a} \boldsymbol{c}-\boldsymbol{b} \boldsymbol{d}) \boldsymbol{I}+ \)
\( (a d+b c) J \)
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Assertion is incorrect but Reason is correct",Maths
6216,"\( \lim _{x \rightarrow 0}\left(x^{-3} \sin 3 x+a x^{-2}+b\right) \) exists and
is equal to \( 0, \) then
A \( \cdot a=-3 \) and \( b=\frac{9}{2} \)
B. \( a=3 \) and \( b=\frac{9}{2} \)
c. \( _{a=-3 \text { and } b=-\frac{9}{2}} \)
D. \( a=3 \) and \( b=-\frac{9}{2} \)",Maths
23833,In electric dipole what is the locus of Zero potential?,Physics
2120,"How many nodes are found in heart of
human?
A. one
B. Two
c. many
D. None of the above",Biology
11051,"Choose the correct options regarding
the nature of oxides formed by \( L i \) and
\( \boldsymbol{B e}: \)
This question has multiple correct options
A \( \cdot L i_{2} O \) is acidic while \( B e O \) is basic
B. \( B e O \) is amphoteric.
\( \mathrm{c} \cdot \mathrm{Li}_{2} \mathrm{O} \) is basic
D. \( L i_{2} O \) and \( B e O \) both are amphoteric",Chemistry
4702,"When a resistor of \( 2 \Omega \) is connected
across the terminals of a battery a current of \( 2 A \) is found to flow. When a
second resistor of \( 8 \Omega \) is connected in
series with the first, the current is
reduced to \( 1 A . \) The emf and internal
resistance of the battery are
A \( .12 \%, 4 \Omega \)
B. 10V, 2\Omega
\( c \cdot 16 v, 6 \Omega \)
D. 16V, 4\Omega",Physics
99714,"Answer the following questions.
(i) An electrostatic field line is a
continuous curve. That is, a field line
cannot have sudden breaks. Why is it
so?
(ii) Explain why two field lines never
cross each other at any point.",Physics
93068,"The percentage of metals in a mine of
lead ore is \( 60 \% . \) Now the percentage of silver is \( \frac{3}{4} \% \) of metals and the rest is lead. If the mass of ore extracted from
this mine is \( 8000 k g \), the mass (in kg.) of lead is:
A. 4763
в. 4764
c. 4762
D. 476",Maths
96572,"Mass of moon is \( 7.34 \times 10^{22} k g \). If the
acceleration due to gravity on the moon is \( 1.4 m s^{-2}, \) the radius of the moon is:
\( \left[G=6.667 \times 10^{-11} N m^{2} k g^{-2}\right] \)
A \( \cdot 0.56 \times 10^{4} m \)
В. \( 1.87 \times 10^{6} \mathrm{m} \)
c. \( 1.92 \times 10^{6} m \)
D. \( 1.01 \times 10^{8} \mathrm{m} \)",Physics
120743,"The number of \( 3 \times 3 \) non-singular
matrices with four entries as 1 and all
other entries as 0 is
A. at least 7
B. less than 4
\( c .5 \)
D. 6",Maths
122159,"Find the equation of the circle whose two end points of the diameter are
(4,-2) and (-1,3)",Maths
85631,"If \( a, b, c \) are three positive real number then show : \( \frac{a}{b+c}+\frac{b}{a+c}+ \)
\( \frac{c}{a+b} \geq \frac{3}{2} \)",Maths
115247,"What is the main principle involved in
voltaic cell?
A. Conversion of chemical energy into heat energy
B. Conversion of heat energy into electrical energy
C. Conversion of chemical energy into electrical energy
D. Conversion of electrical energy into chemical energy",Chemistry
21064,"Davisson Germer experiment explained the wave nature of electrons through
A. Electron diffraction
B. Electron interference
c. Electron scattering
D. Failed to explain wave nature of electrons",Physics
84959,"Which of the following best describes why purely metallic mixtures are
created?
Note: These do not include metalloid
elements.
A. To reduce the damaging effects of rusting of the substance when exposed to air
B. To allow for conduction of electricity without any conduction of heat
c. To allow a solid to have high tensile strength without being ductile.
D. To easily dissolve in water that allows for very rapid decomposition in the environment reducing the amount of metals that wind up in landfills",Chemistry
58114,"When \( M_{1} \) gram of ice at \( -10^{0} C \)
(specific heat \( =\mathbf{0 . 5} \) calg\( ^{10} \boldsymbol{C}^{-1} \) ) is
added to \( M_{2} \) gram of water at \( 50^{\circ} C \) finally no ice is left and the water is at
\( 0^{o} C . \) The value of latent heat of ice, in
cal \( g^{-1} \) is:
\( ^{\mathrm{A}} \cdot \frac{5 M_{1}}{M_{2}}-50 \)
в. \( \frac{5 M_{2}}{M_{1}} \)
c. \( \frac{50 M_{2}}{M_{1}}-5 \)
D. \( \frac{5 M_{2}}{M_{1}}-5 \)",Physics
51487,"Formula of soap is:
A. \( C_{16} H_{32} \) COONa
в. \( C_{17} \mathrm{H}_{35} \mathrm{COONa} \)
c. \( C_{17} H_{33} \)COONa
D. \( C_{17} H_{36} \)COONa",Chemistry
107347,Match the column,Maths
35614,"One volume of nitrogen combines with one volume of oxygen to form two
volumes of nitric oxide. Calculate the
amount of each reactant required to produce \( 250 \mathrm{ml} \) of nitric oxide.
A \( \cdot N_{2}=100 \mathrm{ml}, \mathrm{O}_{2}=100 \mathrm{ml} \)
в. \( N_{2}=120 \mathrm{ml}, \mathrm{O}_{2}=120 \mathrm{ml} \)
c. \( N_{2}=125 \mathrm{ml}, \mathrm{O}_{2}=125 \mathrm{ml} \)
D. \( N_{2}=100 \mathrm{ml}, \mathrm{O}_{2}=125 \mathrm{ml} \)",Chemistry
38406,"Find the values of \( x \) if \( f(x)=\frac{x}{x^{2}+1} \) is
i) an increasing function
ii) a decreasing function",Maths
28182,"Elevation in boiling point was \( 0.52^{\circ} \mathrm{C} \) when 6 g of a compound \( X \) was dissolved in 100 g of water. Molecular mass of the compound M in \( g \) mol \( ^{-1} \) is:
\( K_{b} \) for water is \( 0.52 \mathrm{Km}^{-1} \).)
A . 120
B. 60
\( c \cdot 600 \)
D. 180",Chemistry
93237,"The speed of car is \( 45 k m p h \)
Find the time taken to it to travel
\( \mathbf{9 0 0 k m} \)",Maths
112753,"Differentiate between.
Planogametic copulation and gametangial copulation",Biology
56507,"Calomel electrode is reversible with
respect to:
\( A \cdot H^{+} \) ions
B. \( \mathrm{Hg}_{2}^{2+} \) ions
c. \( \mathrm{cl}^{-} \) ions
D. None of these",Chemistry
77860,"What will happen if one kidney is removed from the body of a human
being?
A. Death due to poisoning
B. Uremia and death
c. Stoppage of urination
D. The person will survive",Biology
32004,"f \( \boldsymbol{y}=\boldsymbol{x} \sin (\boldsymbol{a}+\boldsymbol{y}), \) then prove that
\( \frac{d y}{d x}=\frac{\sin ^{2}(a+y)}{\sin (a+y)-y \cos (a+y)} \)",Maths
108377,"\( \int x\left(f\left(x^{2}\right) g^{\prime \prime}\left(x^{2}\right)-f^{\prime \prime}\left(x^{2}\right) g\left(x^{2}\right)\right) d x= \)
A \( \cdot f\left(x^{2}\right) g^{\prime}\left(x^{2}\right)-g\left(x^{2}\right) f^{\prime}\left(x^{2}\right)+c \)
B \( \cdot \frac{1}{2}\left(f\left(x^{2}\right) g\left(x^{2}\right) f^{\prime}\left(x^{2}\right)\right)+c \)
c. \( \frac{1}{2}\left(f\left(x^{2}\right) g^{\prime}\left(x^{2}\right)-g\left(x^{2}\right) f^{\prime}\left(x^{2}\right)\right)+c \)
D. none of these",Maths
10914,"A wire \( 28 \mathrm{m} \) long is bent into \( \mathrm{N} \) turns of circular coil of diameter \( 14 \mathrm{cm} \) forming a solenoid of length \( 60 \mathrm{cm} \). Calculate the magnetic field inside it when a current of 5 amp passed through it. \( \left(\mu_{0}=12.57 \times 10^{-7} m^{-1}\right) \)
A \( \cdot 6.67 \times 10^{-1} T \)
\( T \)
в. \( 6.67 \times 10^{-4} T \)
c. \( 6.67 \times 10^{4} T \)
D. \( 2.67 \times 10^{-4} T \)",Physics
120556,"A ray of light is incident on the left vertical face of glass cube of refractive
index \( n_{2}, \) as shown in figure. The plane
of incidence is the plane of the page, and the cube is surrounded by liquid (refractive index \( =\{n\}_{-}\{1\} \) ). What is the
largest angle of incidence \( \theta_{1} \) for which
total internal reflection occurs at the
top surface?",Physics
89945,"If two gases \( A B_{2} \) and \( B_{2} C \) are mixed
the following equilibria are readily
established
\( \boldsymbol{A B}_{2}(\boldsymbol{g})+\boldsymbol{B}_{2} \boldsymbol{C}(\boldsymbol{g}) \rightarrow \boldsymbol{A} \boldsymbol{B}_{3}(\boldsymbol{g})+\boldsymbol{B C}(\boldsymbol{g}) \)
\( \boldsymbol{B C}(\boldsymbol{g})+\boldsymbol{B}_{2} \boldsymbol{C}(\boldsymbol{g}) \rightarrow \boldsymbol{B}_{3} \boldsymbol{C}_{2}(\boldsymbol{g}) \)
If the reaction is started only with \( A B_{2} \)
with \( B_{2} C, \) then which of the following is
necessarily true at equilibrium:
This question has multiple correct options
\( \mathbf{A} \cdot\left[A B_{3}\right]_{e q}=[B C]_{e q} \)
\( \mathbf{B} \cdot\left[A B_{2}\right]_{e q}=\left[B_{2} C\right]_{e q} \)
\( \mathbf{c} \cdot\left[A B_{3}\right]_{e q}>\left[B_{3} C_{2}\right]_{e q} \)
\( \mathbf{D} \cdot\left[A B_{3}\right]_{e q}>[B C]_{e q} \)",Chemistry
101929,"Ammonia will not form complex with:
A \( \cdot A g^{2} \)
B. \( P b^{2} \)
\( c \cdot C u^{2} \)
D. \( C d^{2} \)",Chemistry
71753,"A body of mass \( m \) is released from the
top of a rough inclined plane length \( l \). If the frictional force is \( f, \) and the height
of body from ground is \( h \) then the velocity of the body of the bottom in
\( \boldsymbol{m} \boldsymbol{s}^{-1} \) will be :
A \( \cdot \sqrt{\frac{2}{m}(m g h-f l)} \)
в. \( 2 g h-f / l \)
c. \( \sqrt{\frac{2}{m} g h} \)
D. zero",Physics
15814,"Identify the constituent radiations of electromagnetic spectrum which
(a) is obsorbed by ozone layer in the atmosphere
(b) i produced by bombarding a metal target by high speed electrons
(c) is used in satellite communication
(d) has wavelength range between 400 nm to \( 700 \mathrm{nm} \)",Physics
46213,"What is the correct formula for
dinitrogen monoxide?
A \( \cdot N_{2} O \)
в. \( N_{2} O_{5} \)
c. \( N_{4} O_{2} \)
D. \( N O \)
E. \( N O_{2} \)",Chemistry
95149,"Detergents are sodium salts of a long chain:
A. benzene sulphonic acids
B. alkyl hydrogen sulphate
c. both \( A \) and \( B \)
D. none of the above",Chemistry
67394,"Let \( \boldsymbol{f}(\boldsymbol{x})=-\boldsymbol{x}^{2} / 2 . \) If the graph of \( \boldsymbol{f}(\boldsymbol{x}) \)
is translated 2 units up and 3 units left and the resulting graph is that of \( g(x) \) \( \operatorname{then} g(1 / 2)= \)
A .
B . \( -1 / 8 \)
c. \( -2 / 8 \)
D. \( -33 / 8 \)
E . \( 13 / 8 \)",Maths
40397,"The function \( y=\sin ^{-1}(\cos x) \) is not
differentiable at
This question has multiple correct options
\( \mathbf{A} \cdot x=\pi \)
В. \( x=-2 \pi \)
c. \( x=2 \pi \)
D. None of these",Maths
24571,"Let \( A \) be the matrix of order \( 3 \times 3 \) such
that \( |\boldsymbol{A}|=\mathbf{1}, \boldsymbol{B}=\mathbf{2} \boldsymbol{A}^{-1} \) and \( \boldsymbol{C}=\frac{(\boldsymbol{a} d \boldsymbol{j} \boldsymbol{A})}{\sqrt[3]{2}} \)
then the value of \( \left|A B^{2} . C^{3}\right| \) is [Note : \( |A| \) represent determinant value of matrix A.]",Maths
61250,"What is a rectifier? With a suitable
circuit diagram, describe the action of
a full wave rectifier by drawing input and output waveforms.",Physics
32491,"Observe the pictures given below and tell the life process shown in each of these
\( (a) \)
\( (b) \)
\( (c) \)",Biology
36515,"When white phosphorus is heated at \( 473 \mathrm{K} \) under high pressure, what will happen?
A. \( \alpha \) - Black phosphorus is formed
B. \( \beta \) -Black phosphorus is formed
c. Red phosphorus is formed.
D. No change would be observed",Chemistry
59598,"\( \sim(p \leftrightarrow q) \) is equivalent to
\( \mathbf{A} \cdot \sim p \wedge \sim q \)
\( \mathbf{B} \cdot \sim p \vee \sim q \)
\( \mathbf{c} \cdot(p \wedge \sim q) \vee(\sim p \wedge q) \)
D. none of these",Maths
28759,"A thin rod of length \( 3 \mathrm{L} \) is bent at right
angles at a distance \( L \) from one end.
Locate the centre of mass of the
arrangement w.r.t the corner (see figure). (Given, \( L=1 \mathrm{m} \) )
\( \mathbf{A} \cdot r_{C O M}=(0.2 \hat{i}+0.8 \hat{j}) \mathrm{m} \)
B \( \cdot r_{C O M}=(0.4 \hat{i}+0.6 \hat{j}) \mathrm{m} \)
\( \mathbf{c} \cdot r_{C O M}=(0.5 \hat{i}+\hat{j}) m \)
\( \mathbf{D} \cdot r_{C O M}=(0.2 \hat{i}+0.6 \hat{j}) m \)",Physics
122129,"n mutual induction
A: when current in one coil increases, induced current in neighbouring coil flows in the opposite direction
B: When current in one coil decreases,
induced current in neighbouring coil flows in the opposite direction
A. A is true, B is false
B. A and B are false
c. A and B are true
D. A is false, B is true",Physics
98865,"Find the area bounded by the curve \( y= \)
\( 2 x-x^{2} \) and the straight line \( y=-x \)",Maths
